URL,Headline,Content_Pubdate,Content_Subtitle,Content_Wrapper
https://www.mprnews.org/episode/2014/05/13/former-gophers-qb-booted-from-rutgers-squad-the-pedophile-teacher-who-killed-himself-in-minn,Former Gophers QB booted from Rutgers squad; the pedophile teacher who killed himself in Minn.; new life for Somali remittance programs?,"May 13, 2014 12:00 AM",NA,NA
https://www.mprnews.org/episode/2022/03/08/tim-nelson-on-todays-teachers-strike,Reporter Tim Nelson on Minneapolis teachers strike Tuesday,"March 8, 2022 1:56 PM",NA,NA
https://www.mprnews.org/episode/2020/04/16/climate-change-resources-for-kids-learning-at-home,Here are some climate change resources for kids learning at home,"April 16, 2020 3:37 PM",NA,NA
https://www.mprnews.org/episode/2020/04/16/climate-change-resources-for-kids-learning-at-home,Here are some climate change resources for kids learning at home,"April 16, 2020 3:37 PM",NA,NA
https://www.mprnews.org/episode/2022/03/16/st-paul-teachers-vote-on-tentative-contract-as-negotiations-continue-in-minneapolis-amu-morn,"St. Paul teachers vote on tentative contract, as negotiations continue in Minneapolis","March 16, 2022 6:47 AM",NA,NA
https://www.mprnews.org/episode/2022/03/16/st-paul-teachers-vote-on-tentative-contract-as-negotiations-continue-in-minneapolis-amu-morn,"St. Paul teachers vote on tentative contract, as negotiations continue in Minneapolis","March 16, 2022 6:47 AM",NA,NA
https://www.mprnews.org/episode/2022/03/14/minneapolis-teachers-rally-as-strike-enters-its-second-week,Minneapolis teachers rally as strike enters its second week,"March 14, 2022 12:34 PM",NA,NA
https://www.mprnews.org/story/2022/02/11/st-paul-teachers-union-to-hold-strike-vote-next-week,St. Paul teacher’s union to hold strike vote,"February 11, 2022 2:11 PM",NA,NA
https://www.mprnews.org/story/2020/06/29/how-do-you-talk-to-kids-about-racism-two-black-minnesota-teachers-share-how-they-do-it,How do you talk to kids about racism? Two Black Minnesota teachers share how they do it,"June 29, 2020 4:00 PM",NA,NA
https://www.mprnews.org/story/2015/03/09/substitute-shortage,"When a teacher is out, a substitute is hard to find","March 9, 2015 4:00 AM",NA,NA
https://www.mprnews.org/episode/2022/03/14/no-deal-in-sight-to-end-minneapolis-teachers-strike-as-new-school-week-looms,No deal in sight to end Minneapolis teachers' strike as new school week looms,"March 14, 2022 7:03 AM",NA,NA
https://www.mprnews.org/story/2015/09/04/living-while-dying-episode-13-teaching-doctors,'Living While Dying' episode 13: Teaching doctors,"September 4, 2015 9:25 AM",NA,NA
https://www.mprnews.org/story/2015/09/04/living-while-dying-episode-13-teaching-doctors,'Living While Dying' episode 13: Teaching doctors,"September 4, 2015 9:25 AM",NA,NA
https://www.mprnews.org/episode/2022/03/18/minneapolis-teachers-strike-continues,Minneapolis teachers strike continues,"March 18, 2022 6:41 AM",NA,NA
https://www.mprnews.org/story/2015/03/19/east-scholars-teachers,East African teachers connect with younger versions of themselves,"March 19, 2015 3:54 PM",NA,NA
https://www.mprnews.org/episode/2022/03/08/teachers-strike-is-on-for-minneapolis-public-schools,Teachers strike is on for Minneapolis public schools,"March 8, 2022 1:48 PM",NA,NA
https://www.mprnews.org/story/2011/03/02/alternative-licensure-faq,FAQ: Minn.'s alternative teaching licensure legislation,"March 2, 2011 4:11 PM",NA,NA
https://www.mprnews.org/episode/2022/03/07/updates-on-possible-twin-cities-teacher-strike,"Mpls., St. Paul educators appear poised to walk out","March 7, 2022 5:30 PM",NA,NA
https://www.mprnews.org/story/2014/09/04/minnesota-rural-teacher-shortage,Rural Minnesota districts finding it tougher to lure new teachers,"September 4, 2014 3:36 PM",NA,NA
https://www.mprnews.org/story/2023/11/30/north-dakota-state-extends-new-scholarship-amid-worries-about-minnesota-tuition-program,North Dakota State extends new scholarship amid worries about Minnesota tuition program,"November 30, 2023 6:15 AM",NA,NA
https://www.mprnews.org/story/2018/02/08/what-will-happen-if-the-teachers-strike-in-st-paul,What will happen if there's a St. Paul teachers' strike?,"February 8, 2018 3:26 PM",NA,NA
https://www.mprnews.org/story/2009/01/30/minnesota-gets-poor-marks-for-teacher-quality,Minnesota gets poor marks for teacher quality,"January 30, 2009 1:00 AM",NA,NA
https://www.mprnews.org/story/2013/07/10/new-teachers-union-president-denise-specht-wants-fewer-assessment-tests-more-classroom,"New teachers union president Denise Specht wants fewer assessment tests, more classroom support","July 10, 2013 10:27 AM",NA,NA
https://www.mprnews.org/story/2020/09/03/the-good-enough-year-anxious-teachers-brace-for-a-return-to-school,The 'good enough year': Anxious teachers brace for a return to school,"September 3, 2020 4:20 PM",NA,NA
https://www.mprnews.org/story/2021/10/21/teachers-ask-for-virus-protocols-after-student-staff-deaths,"Teachers ask for virus protocols after student, staff deaths","October 21, 2021 5:15 PM",NA,NA
