District,School,City,Grade Level,Expenditures Per Pupil
SAUK CENTRE PUBLIC SCHOOL DISTRICT,SAUK CENTRE SECONDARY,SAUK CENTRE,High,"12,321.00"
SAUK RAPIDS-RICE PUBLIC SCHOOL,,SAUK RAPIDS,,"11,516.00"
SAUK RAPIDS-RICE PUBLIC SCHOOL,HILLSIDE EARLY CHILDHOOD CENTER,SAUK RAPIDS,Prekindergarten,"47,329.00"
SAUK RAPIDS-RICE PUBLIC SCHOOL,MISSISSIPPI HEIGHTS ELEMENTARY,SAUK RAPIDS,Elementary,"9,911.00"
SAUK RAPIDS-RICE PUBLIC SCHOOL,PLEASANT VIEW ELEMENTARY,SAUK RAPIDS,Elementary,"11,315.00"
SAUK RAPIDS-RICE PUBLIC SCHOOL,RICE ELEMENTARY,RICE,Elementary,"12,304.00"
SAUK RAPIDS-RICE PUBLIC SCHOOL,SAUK RAPIDS-RICE MIDDLE School,SAUK RAPIDS,Middle,"10,864.00"
SAUK RAPIDS-RICE PUBLIC SCHOOL,SAUK RAPIDS-RICE SENIOR HIGH,SAUK RAPIDS,High,"12,239.00"
MBUHCRAFT LEARNING COMMUNITY CHTR,,BEMIDJI,,"14,863.00"
MBUHCRAFT LEARNING COMMUNITY CHTR,SchoolCRAFT LEARNING COMMUNITY CHTR,BEMIDJI,Elementary,"14,863.00"
SCITECH ACADEMY CHARTER SCHOOL,,RICHFIELD,,"15,394.00"
SCITECH ACADEMY CHARTER SCHOOL,SCITECH ACADEMY CHARTER School,RICHFIELD,Elementary,"15,394.00"
SEBEKA PUBLIC SCHOOL DISTRICT,,SEBEKA,,"12,125.00"
SEBEKA PUBLIC SCHOOL DISTRICT,SEBEKA ELEMENTARY,SEBEKA,Elementary,"12,778.00"
SEBEKA PUBLIC SCHOOL DISTRICT,SEBEKA SECONDARY,SEBEKA,High,"12,234.00"
SEJONG ACADEMY OF MINNESOTA,,SAINT PAUL,,"14,569.00"
SEJONG ACADEMY OF MINNESOTA,SEJONG ACADEMY OF MINNESOTA,SAINT PAUL,Elementary,"14,569.00"
SEVEN HILLS PREPARATORY ACADEMY,,BLOOMINGTON,,"11,799.00"
SEVEN HILLS PREPARATORY ACADEMY,SEVEN HILLS PREP ACADEMY LOWER EL,RICHFIELD,Elementary,"8,867.00"
SEVEN HILLS PREPARATORY ACADEMY,SEVEN HILLS PREP ACADEMY UPPER,RICHFIELD,Middle,"14,342.00"
SEVEN HILLS PREPARATORY ACADEMY,SEVEN HILLS PREPARATORY ACADEMY,BLOOMINGTON,Elementary,"11,738.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,,SHAKOPEE,,"11,530.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,EAGLE CREEK ELEMENTARY School,SHAKOPEE,Elementary,"10,824.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,JACKSON ELEMENTARY,SHAKOPEE,Elementary,"11,452.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,RED OAK ELEMENTARY,SHAKOPEE,Elementary,"12,399.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,SHAKOPEE EAST MIDDLE School,SHAKOPEE,Middle,"11,543.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,SHAKOPEE HIGH School,SHAKOPEE,High,"11,390.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,SHAKOPEE SR ALC,SHAKOPEE,High,"16,741.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,SHAKOPEE WEST MIDDLE School,SHAKOPEE,Middle,"10,088.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,SPECIAL SERVICES,SHAKOPEE,Elementary,"3,431.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,SUN PATH ELEMENTARY,SHAKOPEE,Elementary,"11,800.00"
SHAKOPEE PUBLIC SCHOOL DISTRICT,SWEENEY ELEMENTARY,SHAKOPEE,Elementary,"11,852.00"
SIBLEY EAST SCHOOL DISTRICT,,ARLINGTON,,"11,280.00"
SIBLEY EAST SCHOOL DISTRICT,SIBLEY EAST MIDDLE School,ARLINGTON,Middle,"10,673.00"
SIBLEY EAST SCHOOL DISTRICT,SIBLEY EAST-ARLINGTON SENIOR HIGH,ARLINGTON,High,"11,081.00"
SIBLEY EAST SCHOOL DISTRICT,SIBLEY EAST-GAYLORD ELEMENTARY,GAYLORD,Elementary,"11,834.00"
SKYLINE MATH AND SCIENCE ACADEMY,,MINNEAPOLIS,,"15,539.00"
SKYLINE MATH AND SCIENCE ACADEMY,SKYLINE MATH AND SCIENCE ACADEMY,MINNEAPOLIS,Elementary,"15,539.00"
SLEEPY EYE PUBLIC SCHOOL DISTRICT,,SLEEPY EYE,,"12,233.00"
SLEEPY EYE PUBLIC SCHOOL DISTRICT,SLEEPY EYE ELEMENTARY,SLEEPY EYE,Elementary,"11,861.00"
SLEEPY EYE PUBLIC SCHOOL DISTRICT,SLEEPY EYE SEC.,SLEEPY EYE,High,"13,767.00"
SOJOURNER TRUTH ACADEMY,,MINNEAPOLIS,,"17,859.00"
SOJOURNER TRUTH ACADEMY,SOJOURNER TRUTH ACADEMY,MINNEAPOLIS,Elementary,"17,859.00"
SOUTH KOOCHICHING SCHOOL DISTRICT,,NORTHOME,,"21,748.00"
SOUTH KOOCHICHING SCHOOL DISTRICT,INDUS ELEMENTARY,BIRCHDALE,Elementary,"21,215.00"
SOUTH KOOCHICHING SCHOOL DISTRICT,INDUS SECONDARY,BIRCHDALE,High,"31,954.00"
SOUTH KOOCHICHING SCHOOL DISTRICT,NORTHOME ELEMENTARY,NORTHOME,Elementary,"13,461.00"
SOUTH KOOCHICHING SCHOOL DISTRICT,NORTHOME SECONDARY,NORTHOME,High,"27,379.00"
SOUTH ST. PAUL PUBLIC SCHOOL DIST.,,SOUTH SAINT PAUL,,"12,848.00"
SOUTH ST. PAUL PUBLIC SCHOOL DIST.,EARLY CHILDHOOD SPECIAL ED PROGRAM,SOUTH SAINT PAUL,Prekindergarten,"3,642.00"
SOUTH ST. PAUL PUBLIC SCHOOL DIST.,KAPOSIA EDUCATION CENTER ELEMENTARY,SOUTH SAINT PAUL,Elementary,"13,591.00"
SOUTH ST. PAUL PUBLIC SCHOOL DIST.,LINCOLN CENTER ELEMENTARY,SOUTH SAINT PAUL,Elementary,"14,877.00"
SOUTH ST. PAUL PUBLIC SCHOOL DIST.,S ST. PAUL COMMUNITY LRNG. CNTR.,SOUTH SAINT PAUL,High,"15,322.00"
SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SOUTH ST. PAUL SECONDARY,SOUTH SAINT PAUL,High,"11,884.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,,COTTAGE GROVE,,"12,615.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,ACCESS,COTTAGE GROVE,High,"8,857.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,AGES 0-2 EARLY CHILDHOOD SPECIAL ED,COTTAGE GROVE,Prekindergarten,"3,368.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,AGES 3-5 EARLY CHILDHOOD SPECIAL ED,COTTAGE GROVE,Prekindergarten,"41,652.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,ARMSTRONG ELEMENTARY,COTTAGE GROVE,Elementary,"15,934.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,COTTAGE GROVE ELEMENTARY,COTTAGE GROVE,Elementary,"14,065.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,COTTAGE GROVE MIDDLE School,COTTAGE GROVE,Middle,"13,834.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,CRESTVIEW ELEMENTARY,COTTAGE GROVE,Elementary,"14,724.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,EAST RIDGE HIGH School,WOODBURY,High,"11,060.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,GORDON BAILEY ELEMENTARY,WOODBURY,Elementary,"12,514.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,GREY CLOUD ELEMENTARY,COTTAGE GROVE,Elementary,"12,798.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,HILLSIDE ELEMENTARY,COTTAGE GROVE,Elementary,"13,590.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,LAKE MIDDLE School,WOODBURY,Middle,"11,268.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,LIBERTY RIDGE ELEMENTARY,WOODBURY,Elementary,"12,428.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,MIDDLETON ELEMENTARY,WOODBURY,Elementary,"12,463.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,NEWPORT ELEMENTARY,NEWPORT,Elementary,"16,288.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,NUEVAS FRONTERAS SPANISH IMMERSION,ST PAUL PARK,Elementary,"11,755.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,OLTMAN MIDDLE School,COTTAGE GROVE,Middle,"11,351.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,PARK HIGH School,COTTAGE GROVE,High,"11,998.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,PINE HILL ELEMENTARY,COTTAGE GROVE,Elementary,"13,370.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,PLACE,COTTAGE GROVE,High,"3,368.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,PULLMAN ELEMENTARY,SAINT PAUL PARK,Elementary,"14,778.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,RED ROCK ELEMENTARY,WOODBURY,Elementary,"11,700.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,ROYAL OAKS ELEMENTARY,WOODBURY,Elementary,"12,202.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,SOUTH WASHINGTON ALTERNATIVE HS,COTTAGE GROVE,High,"24,479.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,TRANSITIONS,COTTAGE GROVE,High,"23,298.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,VALLEY CROSSING ELEMENTARY,WOODBURY,Elementary,"11,318.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,WOODBURY ELEMENTARY,WOODBURY,Elementary,"14,186.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,WOODBURY HIGH School,WOODBURY,High,"11,603.00"
SOUTH WASHINGTON COUNTY SCHOOL DIST,WOODBURY MIDDLE School,WOODBURY,Middle,"11,011.00"
SOUTHLAND PUBLIC SCHOOL DISTRICT,,ADAMS,,"14,350.00"
SOUTHLAND PUBLIC SCHOOL DISTRICT,SOUTHLAND ELEMENTARY,ROSE CREEK,Elementary,"13,315.00"
SOUTHLAND PUBLIC SCHOOL DISTRICT,SOUTHLAND MIDDLE,ADAMS,Middle,"6,162.00"
SOUTHLAND PUBLIC SCHOOL DISTRICT,SOUTHLAND SENIOR HIGH,ADAMS,High,"23,558.00"
SOUTHSIDE FAMILY CHARTER SCHOOL,,MINNEAPOLIS,,"13,946.00"
SOUTHSIDE FAMILY CHARTER SCHOOL,SOUTHSIDE FAMILY CHARTER School,MINNEAPOLIS,Elementary,"13,946.00"
SPECTRUM HIGH SCHOOL,,ELK RIVER,,"12,584.00"
SPECTRUM HIGH SCHOOL,SPECTRUM HIGH School,ELK RIVER,High,"13,886.00"
SPECTRUM HIGH SCHOOL,SPECTRUM MIDDLE School - GRADE 6,ELK RIVER,Middle,"12,369.00"
SPECTRUM HIGH SCHOOL,SPECTRUM MIDDLE School - GRADES 7-8,ELK RIVER,Middle,"10,772.00"
SPERO ACADEMY,,MINNEAPOLIS,,"57,541.00"
SPERO ACADEMY,SPERO ACADEMY,MINNEAPOLIS,Elementary,"57,541.00"
SPRING GROVE SCHOOL DISTRICT,,SPRING GROVE,,"12,631.00"
SPRING GROVE SCHOOL DISTRICT,SPRING GROVE ELEMENTARY,SPRING GROVE,Elementary,"11,013.00"
SPRING GROVE SCHOOL DISTRICT,SPRING GROVE SECONDARY,SPRING GROVE,High,"14,757.00"
SPRING LAKE PARK PUBLIC SCHOOL,,SPRING LAKE PARK,,"11,521.00"
SPRING LAKE PARK PUBLIC SCHOOL,CENTERVIEW ELEMENTARY,BLAINE,Elementary,"10,334.00"
SPRING LAKE PARK PUBLIC SCHOOL,DISTANCE LEARNING INDEP STUDY,SPRING LAKE PARK,High,"8,421.00"
SPRING LAKE PARK PUBLIC SCHOOL,EARLY EDUCATION,FRIDLEY,Prekindergarten,"5,015.00"
SPRING LAKE PARK PUBLIC SCHOOL,ELEMENTARY LIGHTHOUSE,SPRING LAKE PARK,Elementary,"12,979.00"
SPRING LAKE PARK PUBLIC SCHOOL,NORTHPOINT ELEMENTARY,BLAINE,Elementary,"11,078.00"
SPRING LAKE PARK PUBLIC SCHOOL,PARK TERRACE ELEMENTARY,SPRING LAKE PARK,Elementary,"10,998.00"
SPRING LAKE PARK PUBLIC SCHOOL,SECONDARY LIGHTHOUSE,SPRING LAKE PARK,High,"12,724.00"
SPRING LAKE PARK PUBLIC SCHOOL,SPRING LAKE PARK SENIOR HIGH,SPRING LAKE PARK,High,"12,602.00"
SPRING LAKE PARK PUBLIC SCHOOL,WESTWOOD INTERMEDIATE & MIDDLE SCH,BLAINE,Middle,"11,179.00"
SPRING LAKE PARK PUBLIC SCHOOL,WOODCREST EL. SPANISH IMMERSION,FRIDLEY,Elementary,"12,009.00"
SPRINGFIELD PUBLIC SCHOOL DISTRICT,,SPRINGFIELD,,"11,985.00"
SPRINGFIELD PUBLIC SCHOOL DISTRICT,SPRINGFIELD ELEMENTARY,SPRINGFIELD,Elementary,"10,414.00"
SPRINGFIELD PUBLIC SCHOOL DISTRICT,SPRINGFIELD SECONDARY,SPRINGFIELD,High,"13,903.00"
ST PAUL CONSERVATORY PERFORMING ART,,SAINT PAUL,,"11,858.00"
ST PAUL CONSERVATORY PERFORMING ART,ST PAUL CONSERVATORY PERFORMING ART,SAINT PAUL,High,"11,858.00"
ST. ANTHONY-NEW BRIGHTON SCHOOL,,SAINT ANTHONY,,"11,940.00"
ST. ANTHONY-NEW BRIGHTON SCHOOL,ST. ANTHONY MIDDLE,SAINT ANTHONY,Middle,"11,431.00"
ST. ANTHONY-NEW BRIGHTON SCHOOL,ST. ANTHONY VILLAGE ALTERNATIVE,SAINT ANTHONY,High,"2,484.00"
ST. ANTHONY-NEW BRIGHTON SCHOOL,ST. ANTHONY VILLAGE SENIOR HIGH,SAINT ANTHONY,High,"13,239.00"
ST. ANTHONY-NEW BRIGHTON SCHOOL,WILSHIRE PARK ELEMENTARY,SAINT ANTHONY,Elementary,"11,188.00"
ST. CHARLES PUBLIC SCHOOL DISTRICT,,SAINT CHARLES,,"10,968.00"
ST. CHARLES PUBLIC SCHOOL DISTRICT,ST. CHARLES ELEMENTARY,SAINT CHARLES,Elementary,"10,229.00"
ST. CHARLES PUBLIC SCHOOL DISTRICT,ST. CHARLES SECONDARY,SAINT CHARLES,High,"11,781.00"
ST. CLAIR PUBLIC SCHOOL DISTRICT,,SAINT CLAIR,,"10,524.00"
ST. CLAIR PUBLIC SCHOOL DISTRICT,ST. CLAIR ELEMENTARY,SAINT CLAIR,Elementary,"9,814.00"
ST. CLAIR PUBLIC SCHOOL DISTRICT,ST. CLAIR SECONDARY,SAINT CLAIR,High,"11,369.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,,WAITE PARK,,"14,042.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,APOLLO SENIOR HIGH,SAINT CLOUD,High,"16,195.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,CLEARVIEW ELEMENTARY,CLEAR LAKE,Elementary,"12,810.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,DISCOVERY COMMUNITY ELEMENTARY,WAITE PARK,Elementary,"14,592.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,EC SP ED AT QUARRYVIEW ED CENTER,WAITE PARK,Prekindergarten,"30,666.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,KENNEDY COMMUNITY School,SAINT JOSEPH,Elementary,"12,860.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,LINCOLN ELEMENTARY,SAINT CLOUD,Elementary,"14,628.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,MADISON ELEMENTARY,SAINT CLOUD,Elementary,"12,943.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,NORTH JUNIOR HIGH,SAINT CLOUD,Middle,"12,962.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,OAK HILL COMMUNITY ELEMENTARY,SAINT CLOUD,Elementary,"13,981.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,RIVERWOODS School NON-RESIDENTIAL,SAINT CLOUD,Other,"30,294.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,ROOSEVELT EDUCATION CENTER,SAINT CLOUD,Other,"36,809.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,SOUTH JUNIOR HIGH,SAINT CLOUD,Middle,"12,481.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,SPECIAL EDUCATION FACILITIES,WAITE PARK,Other,"4,482.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,ST CLOUD AREA LEARNING CENTER,WAITE PARK,High,"18,847.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,ST CLOUD HOSPITAL PROGS-RESIDENTIAL,SAINT CLOUD,Other,"15,200.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,ST. CLOUD GROUP HOME,SAINT CLOUD,High,"17,910.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,ST. CLOUD HOSPITAL PROGRAMS NON-RES,SAINT CLOUD,Other,"17,258.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,TALAHI COMMUNITY ELEMENTARY,SAINT CLOUD,Elementary,"14,864.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,TECHNICAL SENIOR HIGH,SAINT CLOUD,High,"12,760.00"
ST. CLOUD PUBLIC SCHOOL DISTRICT,WESTWOOD ELEMENTARY,SAINT CLOUD,Elementary,"15,046.00"
ST. CROIX PREPARATORY ACADEMY,,STILLWATER,,"11,271.00"
ST. CROIX PREPARATORY ACADEMY,ST CROIX PREPARATORY ACADEMY MIDDLE,STILLWATER,Middle,"10,327.00"
ST. CROIX PREPARATORY ACADEMY,ST. CROIX PREPARATORY ACADEMY LOWER,STILLWATER,Elementary,"11,771.00"
ST. CROIX PREPARATORY ACADEMY,ST. CROIX PREPARATORY ACADEMY UPPER,STILLWATER,High,"11,615.00"
ST. FRANCIS AREA SCHOOL,,SAINT FRANCIS,,"10,821.00"
ST. FRANCIS AREA SCHOOL,CEDAR CREEK ELEMENTARY School,CEDAR,Elementary,"10,593.00"
ST. FRANCIS AREA SCHOOL,CROSSROADS School,ANOKA,Other,"66,711.00"
ST. FRANCIS AREA SCHOOL,EAST BETHEL ELEMENTARY School,CEDAR,Elementary,"10,999.00"
ST. FRANCIS AREA SCHOOL,ECSE@ ISD 15 LIFELONG LEARNING,CEDAR,Prekindergarten,"30,925.00"
ST. FRANCIS AREA SCHOOL,RESTORE PROGRAM,SAINT FRANCIS,Other,"3,334.00"
ST. FRANCIS AREA SCHOOL,SAINTS ACADEMY,SAINT FRANCIS,High,"11,298.00"
ST. FRANCIS AREA SCHOOL,SAINTS GUIDED STUDIES,SAINT FRANCIS,High,"6,218.00"
ST. FRANCIS AREA SCHOOL,SAINTS ONLINE,SAINT FRANCIS,Other,"7,217.00"
ST. FRANCIS AREA SCHOOL,ST. FRANCIS ELEMENTARY,SAINT FRANCIS,Elementary,"9,908.00"
ST. FRANCIS AREA SCHOOL,ST. FRANCIS HIGH,SAINT FRANCIS,High,"10,451.00"
ST. FRANCIS AREA SCHOOL,ST. FRANCIS MIDDLE,SAINT FRANCIS,Middle,"9,532.00"
ST. FRANCIS AREA SCHOOL,TRANSITION 15,ST. FRANCIS,Other,"32,772.00"
ST. JAMES PUBLIC SCHOOL DISTRICT,,SAINT JAMES,,"12,564.00"
ST. JAMES PUBLIC SCHOOL DISTRICT,ARMSTRONG School,SAINT JAMES,Prekindergarten,"8,823.00"
ST. JAMES PUBLIC SCHOOL DISTRICT,ST. JAMES EARLY CHILDHOOD,SAINT JAMES,Prekindergarten,"3,990.00"
ST. JAMES PUBLIC SCHOOL DISTRICT,ST. JAMES MIDDLE/HIGH School,SAINT JAMES,High,"12,737.00"
ST. JAMES PUBLIC SCHOOL DISTRICT,ST. JAMES NORTHSIDE ELEMENTARY,SAINT JAMES,Elementary,"13,011.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,,VIRGINIA,,"15,003.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,BABBITT ELEMENTARY,BABBITT,Elementary,"16,195.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,CHERRY ELEMENTARY,IRON,Elementary,"10,430.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,CHERRY SECONDARY,IRON,High,"17,767.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,NORTH WOODS ELEMENTARY,COOK,Elementary,"12,293.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,NORTH WOODS SECONDARY,COOK,High,"16,454.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,NORTHEAST RANGE SECONDARY,BABBITT,High,"21,949.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,SOUTH RIDGE ELEMENTARY,CULVER,Elementary,"11,225.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,SOUTH RIDGE SECONDARY,CULVER,High,"18,756.00"
ST. LOUIS COUNTY SCHOOL DISTRICT,TOWER-SOUDAN ELEMENTARY,TOWER,Elementary,"24,490.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,,SAINT LOUIS PARK,,"14,309.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,AQUILA ELEMENTARY,SAINT LOUIS PARK,Elementary,"15,303.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,MELROSE,SAINT LOUIS PARK,Other,"3,988.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,PARK SPANISH IMMERSION ELEMENTARY,SAINT LOUIS PARK,Elementary,"13,336.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,PETER HOBART ELEMENTARY,SAINT LOUIS PARK,Elementary,"15,262.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,SPECIAL ED.,SAINT LOUIS PARK,High,"3,988.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,ST. LOUIS PARK MIDDLE School,SAINT LOUIS PARK,Middle,"13,707.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,ST. LOUIS PARK SENIOR HIGH,SAINT LOUIS PARK,High,"14,273.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,ST. LOUIS PARK SPECIAL ED. PROGRAM,SAINT LOUIS PARK,Elementary,"4,026.00"
ST. LOUIS PARK PUBLIC SCHOOL DIST.,SUSAN LINDGREN ELEMENTARY,SAINT LOUIS PARK,Elementary,"15,927.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,,ALBERTVILLE,,"10,182.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,ALBERTVILLE PRIMARY,ALBERTVILLE,Elementary,"11,565.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,BIG WOODS ELEMENTARY,SAINT MICHAEL,Elementary,"9,739.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,FIELDSTONE ELEMENTARY School,SAINT MICHAEL,Elementary,"10,642.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,KNIGHTS ACADEMY,SAINT MICHAEL,High,"14,916.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,ST MICHAEL-ALBERTVILLE MIDDLE WEST,ALBERTVILLE,Middle,"9,770.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,ST. MICHAEL ELEMENTARY,SAINT MICHAEL,Elementary,"11,841.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,ST. MICHAEL-ALBERTVILLE MIDDLE EAST,SAINT MICHAEL,Middle,"9,845.00"
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,ST. MICHAEL-ALBERTVILLE SENIOR HIGH,SAINT MICHAEL,High,"9,372.00"
ST. PAUL CITY SCHOOL,,SAINT PAUL,,"15,853.00"
ST. PAUL CITY SCHOOL,ST. PAUL CITY MIDDLE School,SAINT PAUL,Middle,"13,409.00"
ST. PAUL CITY SCHOOL,ST. PAUL CITY PRIMARY School,SAINT PAUL,Elementary,"17,124.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,,SAINT PAUL,,"16,378.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,A. G. A. P. E. TEEN PARENT,SAINT PAUL,High,"26,767.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,ADAMS MAGNET ELEMENTARY,SAINT PAUL,Elementary,"14,389.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,ALC EVENING HIGH School,SAINT PAUL,High,"17,816.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,ALC GATEWAY TO COLLEGE,SAINT PAUL,High,"13,563.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,ALC ON TRACK,SAINT PAUL,Middle,"10,249.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,ALC SECONDARY EXTENDED PROGRAMS,SAINT PAUL,High,"10,399.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,ALC SECONDARY SPECIAL SITES,SAINT PAUL,High,"5,237.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,AMERICAN INDIAN MAGNET School,SAINT PAUL,Elementary,"17,042.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,ANNA WESTIN HOUSE,SAINT PAUL,Other,"13,873.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,BATTLE CREEK ELEMENTARY School,SAINT PAUL,Elementary,"17,494.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,BATTLE CREEK MIDDLE,SAINT PAUL,Middle,"16,110.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,BENJAMIN E MAYS MAGNET,SAINT PAUL,Elementary,"5,237.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,BOYS TOTEM TOWN,SAINT PAUL,High,"67,825.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,BRIDGE VIEW SPECIAL EDUCATION,SAINT PAUL,Other,"43,489.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,BRITTANY'S PLACE,SAINT PAUL,Other,"42,125.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,BRUCE F VENTO ELEMENTARY,SAINT PAUL,Elementary,"18,990.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,CAPITOL HILL MAGNET/RONDO,SAINT PAUL,Elementary,"12,271.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,CENTRAL SENIOR HIGH,SAINT PAUL,High,"14,683.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,CHELSEA HEIGHTS ELEMENTARY,SAINT PAUL,Elementary,"14,359.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,CHEROKEE HEIGHTS ELEMENTARY School,SAINT PAUL,Elementary,"23,552.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,COMO PARK ELEMENTARY,SAINT PAUL,Elementary,"21,235.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,COMO PARK SENIOR HIGH,SAINT PAUL,High,"15,599.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,CREATIVE ARTS SECONDARY School,SAINT PAUL,High,"15,324.00"
ST. PAUL PUBLIC SCHOOL DISTRICT,CROSSROADS MONTESSORI,SAINT PAUL,Elementary,"17,592.00"
